scale,m,n,unknowns,nodes,ppn,threads,mpi_ranks,total_cores,unknowns_per_core,matrix_type,runtime_seconds,memory_mb,status,source_file
large,4500,4500,20250000,1,2,8,2,16,1.26562e+06,,4384,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,2,8,2,16,1.26562e+06,,4396,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,32,1,32,32,632812,,1868,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,32,1,32,32,632812,,1869,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,16,2,16,32,632812,,1826,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,16,2,16,32,632812,,1827,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,8,4,8,32,632812,,1793,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,8,4,8,32,632812,,1794,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,4,8,4,32,632812,,2209,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,4,8,4,32,632812,,2220,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,64,1,64,64,316406,,825.7,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,64,1,64,64,316406,,826.7,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,32,2,32,64,316406,,829.9,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,32,2,32,64,316406,,831.1,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,16,4,16,64,316406,,846,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,16,4,16,64,316406,,848.1,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,8,8,8,64,316406,,1115,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,8,8,8,64,316406,,1117,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,128,1,128,128,158203,,340.1,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,128,1,128,128,158203,,340.8,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,64,2,64,128,158203,,341.6,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,64,2,64,128,158203,,342.1,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,32,4,32,128,158203,,376,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,32,4,32,128,158203,,376.6,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,16,8,16,128,158203,,547,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,16,8,16,128,158203,,547.2,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
very-large,6400,6400,40960000,1,1,1,1,1,4.096e+07,,15410,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,1,1,1,1,4.096e+07,,15420,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998765.csv
very-large,6400,6400,40960000,1,2,1,2,2,2.048e+07,,9131,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,2,1,2,2,2.048e+07,,9147,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998765.csv
very-large,6400,6400,40960000,1,1,2,1,2,2.048e+07,,14150,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,1,2,1,2,2.048e+07,,14190,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998765.csv
very-large,6400,6400,40960000,1,4,1,4,4,1.024e+07,,8464,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,2,2,2,4,1.024e+07,,9219,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,2,2,2,4,1.024e+07,,9272,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998765.csv
very-large,6400,6400,40960000,1,1,4,1,4,1.024e+07,,14250,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,1,4,1,4,1.024e+07,,14280,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998765.csv
very-large,6400,6400,40960000,1,8,1,8,8,5.12e+06,,8702,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,4,2,4,8,5.12e+06,,8503,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,2,4,2,8,5.12e+06,,9344,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,2,4,2,8,5.12e+06,,9376,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998765.csv
very-large,6400,6400,40960000,1,1,8,1,8,5.12e+06,,13840,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,1,8,1,8,5.12e+06,,14410,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998765.csv
very-large,6400,6400,40960000,1,16,1,16,16,2.56e+06,,7558,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,8,2,8,16,2.56e+06,,7375,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,4,4,4,16,2.56e+06,,7311,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,2,8,2,16,2.56e+06,,8845,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
