scale,m,n,unknowns,nodes,ppn,threads,mpi_ranks,total_cores,unknowns_per_core,matrix_type,runtime_mean_s,runtime_std_s,runtime_min_s,runtime_max_s,speedup,efficiency,cu,n_runs
large,4500,4500,20250000,1,16,4,16,64,316406.0,,847.05,1.4849242404917657,846.0,848.1,8.908565019774512,0.13919632843397675,0.23529166666666665,2
large,4500,4500,20250000,1,32,2,32,64,316406.0,,830.5,0.8485281374238892,829.9,831.1,9.086092715231787,0.14197019867549668,0.23069444444444445,2
large,4500,4500,20250000,1,64,1,64,64,316406.0,,826.2,0.7071067811865476,825.7,826.7,9.133381747760833,0.142709089808763,0.2295,2
large,4500,4500,20250000,1,16,8,16,128,158203.0,,547.1,0.14142135623734164,547.0,547.2,13.79272527874246,0.10775566624017546,0.15197222222222223,2
large,4500,4500,20250000,1,32,4,32,128,158203.0,,376.3,0.4242640687119446,376.0,376.6,20.053149083178315,0.1566652272123306,0.10452777777777778,2
large,4500,4500,20250000,1,64,2,64,128,158203.0,,341.85,0.3535533905932738,341.6,342.1,22.07400906830481,0.17245319584613134,0.09495833333333334,2
large,4500,4500,20250000,1,128,1,128,128,158203.0,,340.45000000000005,0.49497474683057524,340.1,340.8,22.164781906300483,0.17316235864297252,0.09456944444444446,2
very-large,6400,6400,40960000,1,1,1,1,1,40960000.0,,15415.0,7.0710678118654755,15410.0,15420.0,1.0,1.0,4.281944444444444,2
very-large,6400,6400,40960000,1,1,2,1,2,20480000.0,,14170.0,28.284271247461902,14150.0,14190.0,1.0878616796047988,0.5439308398023994,3.936111111111111,2
very-large,6400,6400,40960000,1,2,1,2,2,20480000.0,,9139.0,11.313708498984761,9131.0,9147.0,1.6867272130430024,0.8433636065215012,2.538611111111111,2
very-large,6400,6400,40960000,1,1,4,1,4,10240000.0,,14265.0,21.213203435596427,14250.0,14280.0,1.0806168944970207,0.2701542236242552,3.9625,2
very-large,6400,6400,40960000,1,2,2,2,4,10240000.0,,9245.5,37.476659402887016,9219.0,9272.0,1.6672976042399006,0.41682440105997515,2.5681944444444444,2
very-large,6400,6400,40960000,1,4,1,4,4,10240000.0,,8464.0,nan,8464.0,8464.0,1.821242911153119,0.45531072778827975,2.351111111111111,1
very-large,6400,6400,40960000,1,1,8,1,8,5120000.0,,14125.0,403.0508652763321,13840.0,14410.0,1.0913274336283185,0.13641592920353982,3.923611111111111,2
very-large,6400,6400,40960000,1,2,4,2,8,5120000.0,,9360.0,22.627416997969522,9344.0,9376.0,1.6469017094017093,0.20586271367521367,2.6,2
very-large,6400,6400,40960000,1,4,2,4,8,5120000.0,,8503.0,nan,8503.0,8503.0,1.8128895683876278,0.22661119604845348,2.3619444444444446,1
very-large,6400,6400,40960000,1,8,1,8,8,5120000.0,,8702.0,nan,8702.0,8702.0,1.7714318547460355,0.22142898184325444,2.417222222222222,1
very-large,6400,6400,40960000,1,2,8,2,16,2560000.0,,8845.0,nan,8845.0,8845.0,1.742792538157151,0.10892453363482194,2.4569444444444444,1
very-large,6400,6400,40960000,1,4,4,4,16,2560000.0,,7311.0,nan,7311.0,7311.0,2.1084666940227055,0.1317791683764191,2.0308333333333333,1
very-large,6400,6400,40960000,1,8,2,8,16,2560000.0,,7375.0,nan,7375.0,7375.0,2.090169491525424,0.130635593220339,2.048611111111111,1
very-large,6400,6400,40960000,1,16,1,16,16,2560000.0,,7558.0,nan,7558.0,7558.0,2.039560730351945,0.12747254564699656,2.0994444444444444,1
